"id","name","slug","abbr","catholic_pop","state","released","database_count","date_of_release","diocese_link","current_leader","leader_title","installation_date","usccb"
"2483","Archdiocese of Anchorage","archdiocese-of-anchorage","ANC","44723","Alaska","TRUE","14","Jan. 2020","https://www.archdioceseofanchorage.org/wp-content/uploads/2020/01/Bishops-letter-report011620.pdf","Andrew Bellisario, C.M.","Diocesan Administrator","2019-06-07","TRUE"
"2484","Archdiocese of Atlanta","archdiocese-of-atlanta","ATL","1150000","Georgia","TRUE","23","Nov. 2018","https://archatl.com/offices/child-and-youth-protection/list/","Joel M. Konzen SM","Diocesan Administrator",,"TRUE"
"2485","Archdiocese of Baltimore","archdiocese-of-baltimore","BAL","517015","Maryland","TRUE","142","Sept. 2002","https://www.archbalt.org/child-and-youth-protection/priests-accused-of-abuse/","William E. Lori","Archbishop","2012-05-16","TRUE"
"2486","Archdiocese of Boston","archdiocese-of-boston","BO","1946413","Massachusetts","TRUE","171","Aug. 2011","https://www.bostoncatholic.org/Offices-And-Services/Office-Detail.aspx?id=21314","Sean P. O'Malley OFM Cap","Cardinal","2003-07-30","TRUE"
"2487","Archdiocese of Chicago","archdiocese-of-chicago","CHI","2180000","Illinois","TRUE","78","March 2006","https://protect.archchicago.org/about-us/archs-response","Blase J. Cupich","Cardinal","2014-11-18","TRUE"
"2488","Archdiocese of Cincinnati","archdiocese-of-cincinnati","CIN","437825","Ohio","TRUE","33","2004","http://www.catholiccincinnati.org/protecting-children/resources-and-publications/status-report-on-clerics-accused-of-child-abuse/","Peter J. Jugis","Archbishop","2009-12-21","TRUE"
"2489","Archdiocese of Denver","archdiocese-of-denver","DEN","599086","Colorado","TRUE","22","Oct. 2019","https://promise.archden.org/report/#list","Samuel J. Aquila","Archbishop","2012-07-18","TRUE"
"2490","Archdiocese of Detroit","archdiocese-of-detroit","DET","1123242","Michigan","TRUE","92","2004","https://protect.aod.org/clergy-credibly-accused-of-abuse","Allen H. Vigneron","Archbishop","2009-01-28","TRUE"
"2491","Archdiocese of Dubuque","archdiocese-of-dubuque","DUB","193182","Iowa","TRUE","31","2006","https://dbqarch.org/protection-of-children","Michael O. Jackels","Archbishop","2005-01-28","TRUE"
"2492","Archdiocese of Galveston-Houston","archdiocese-of-galveston-houston","GAL","1791655","Texas","TRUE","42","Jan. 2019","https://www.archgh.org/clergylist","Daniel N. DiNardo","Cardinal","2006-02-28","TRUE"
