Date,Name,Year,Letterboxd URI,Rating
2021-01-16,La Haine,1995,https://boxd.it/2as8,5
2022-01-11,Oldboy,2003,https://boxd.it/29R2,3
2022-01-19,Lost in Translation,2003,https://boxd.it/2b0E,5
2022-01-25,The Craft,1996,https://boxd.it/1Zai,2
2022-01-26,The Faculty,1998,https://boxd.it/1Z5C,2
2022-01-30,Whiplash,2014,https://boxd.it/7bQA,4
2022-02-03,Perfect Blue,1997,https://boxd.it/1W7A,3
2022-02-16,Before Sunrise,1995,https://boxd.it/2bcU,4
2022-02-18,The Royal Tenenbaums,2001,https://boxd.it/1YHU,4
2022-02-22,Reservoir Dogs,1992,https://boxd.it/2agc,3
2022-03-04,Disturbing Behavior,1998,https://boxd.it/1YIy,2
2022-03-04,Before Sunset,2004,https://boxd.it/2bcg,5
2022-03-04,Inception,2010,https://boxd.it/1skk,2
2022-03-04,Polytechnique,2009,https://boxd.it/1AMG,1
2022-03-05,The Game,1997,https://boxd.it/26vC,3
2022-03-07,Drive,2011,https://boxd.it/IG,2
2022-03-07,Three Colours: Blue,1993,https://boxd.it/2b7K,3
2022-03-11,Donnie Darko,2001,https://boxd.it/2b2A,2
2022-03-14,The Big Lebowski,1998,https://boxd.it/2b6C,4
2022-03-16,Barking Dogs Never Bite,2000,https://boxd.it/1BLa,3
2022-03-20,Mulholland Drive,2001,https://boxd.it/297o,5
2022-03-22,Eraserhead,1977,https://boxd.it/299u,1
2022-03-23,Raging Bull,1980,https://boxd.it/28yI,4
2022-03-25,Vertigo,1958,https://boxd.it/2apI,3
2022-03-25,The Master,2012,https://boxd.it/2cBG,2
2022-04-11,Hoop Dreams,1994,https://boxd.it/1Opc,5
2022-04-18,A Nightmare on Elm Street,1984,https://boxd.it/2aw0,1
2022-05-08,In the Mood for Love,2000,https://boxd.it/29tE,3
2022-05-08,Y Tu Mamá También,2001,https://boxd.it/28QM,5
2022-05-12,Persona,1966,https://boxd.it/29B4,2
2022-05-13,Boyhood,2014,https://boxd.it/3178,2
2022-05-16,Blue Velvet,1986,https://boxd.it/29BI,2
2022-05-17,Her,2013,https://boxd.it/4O24,1
2022-05-25,Man Bites Dog,1992,https://boxd.it/1X7Q,3
2022-05-25,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,5
2022-05-25,Léon: The Professional,1994,https://boxd.it/2b8S,1
2022-06-02,Pi,1998,https://boxd.it/2ajq,2
2022-06-13,There Will Be Blood,2007,https://boxd.it/20Z2,4
2022-06-16,The Host,2006,https://boxd.it/28ZY,3
2022-06-16,The Founder,2016,https://boxd.it/9XwM,3
2022-06-16,Amores Perros,2000,https://boxd.it/2bfu,3
2022-06-16,Tie Me Up! Tie Me Down!,1989,https://boxd.it/26FW,2
2022-06-16,Moneyball,2011,https://boxd.it/glS,3
2022-06-16,Volver,2006,https://boxd.it/2aQO,3
2022-06-16,Boogie Nights,1997,https://boxd.it/23um,3
2022-06-16,Frances Ha,2012,https://boxd.it/41Xg,3
2022-06-16,The Darjeeling Limited,2007,https://boxd.it/24as,3
2022-06-16,Fargo,1996,https://boxd.it/2aHM,4
2022-06-16,City of God,2002,https://boxd.it/2a2a,4
2022-06-16,The Silence of the Lambs,1991,https://boxd.it/2aHW,4
2022-06-16,Birdman or (The Unexpected Virtue of Ignorance),2014,https://boxd.it/5RFA,3
2022-06-18,Nightcrawler,2014,https://boxd.it/780m,3
2022-06-23,Chinatown,1974,https://boxd.it/29vU,4
2022-06-27,Baby Driver,2017,https://boxd.it/bhF2,3
2022-06-27,Little Miss Sunshine,2006,https://boxd.it/29EW,3
2022-06-29,Uncut Gems,2019,https://boxd.it/gXGc,4
2022-07-04,Rushmore,1998,https://boxd.it/1TAO,2
2022-07-05,Moon,2009,https://boxd.it/1IGQ,2
2022-07-06,One Flew Over the Cuckoo's Nest,1975,https://boxd.it/2aeA,4
2022-07-09,10 Things I Hate About You,1999,https://boxd.it/23AO,2
2022-07-10,Fallen Angels,1995,https://boxd.it/1UkW,2
2022-07-11,Last Night in Soho,2021,https://boxd.it/lbJC,2
2022-07-19,Nomadland,2020,https://boxd.it/lnRy,2
2022-07-29,Catch Me If You Can,2002,https://boxd.it/29VS,3
2022-07-30,Almost Famous,2000,https://boxd.it/29CQ,4
2022-08-01,Gates of Heaven,1978,https://boxd.it/1wBu,2
2022-08-03,Yi Yi,2000,https://boxd.it/1vCw,4
2022-08-05,Barton Fink,1991,https://boxd.it/2aFQ,3
2022-08-06,Dazed and Confused,1993,https://boxd.it/1Ylk,5
2022-08-06,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK,5
2022-08-06,Parasite,2019,https://boxd.it/hTha,4
2022-08-06,The Social Network,2010,https://boxd.it/17ue,4
2022-08-08,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO,4
2022-08-09,Irma Vep,1996,https://boxd.it/1vYs,2
2022-08-09,Bottle Rocket,1996,https://boxd.it/1PDa,3
2022-08-09,Sicario,2015,https://boxd.it/8i7u,3
2022-08-10,Lady Bird,2017,https://boxd.it/dGNE,4
2022-08-11,Prisoners,2013,https://boxd.it/4E5i,4
2022-08-11,Arrival,2016,https://boxd.it/aNGk,3
2022-08-11,It's Such a Beautiful Day,2012,https://boxd.it/hCY2,4
2022-08-11,Midnight in Paris,2011,https://boxd.it/i4a,3
2022-08-11,Gone Girl,2014,https://boxd.it/6hQu,3
2022-08-12,American Beauty,1999,https://boxd.it/71Y,5
2022-08-12,"Three Billboards Outside Ebbing, Missouri",2017,https://boxd.it/ceBS,4
2022-08-12,American Honey,2016,https://boxd.it/bk7C,1
2022-08-16,The Pianist,2002,https://boxd.it/2aqc,3
2022-08-16,Green Book,2018,https://boxd.it/hErk,4
2022-08-16,Manhattan,1979,https://boxd.it/29Na,3
2022-08-16,Chungking Express,1994,https://boxd.it/1UDa,3
2022-08-16,Cure,1997,https://boxd.it/1blA,3
2022-08-20,Day Shift,2022,https://boxd.it/sn8W,3
2022-08-20,Raising Arizona,1987,https://boxd.it/2avQ,2
2022-08-21,Jojo Rabbit,2019,https://boxd.it/iEBG,4
2022-08-21,L.A. Confidential,1997,https://boxd.it/27oC,4
2022-08-23,Now You See Me,2013,https://boxd.it/2Bsu,2
2022-08-25,Office Space,1999,https://boxd.it/28Em,2
2022-08-25,Blade Runner 2049,2017,https://boxd.it/b8wK,3
2022-08-25,Amour,2012,https://boxd.it/34Q6,4
2022-08-27,The Devil Wears Prada,2006,https://boxd.it/2awE,2
2022-09-03,Licorice Pizza,2021,https://boxd.it/qTKY,3
2022-09-07,Captain Fantastic,2016,https://boxd.it/b2K2,2
2022-09-08,Thief,1981,https://boxd.it/1TEc,3
2022-09-10,Paddington,2014,https://boxd.it/3RKw,3
2022-09-10,The Big Short,2015,https://boxd.it/ajZw,4
2022-09-10,Project X,2012,https://boxd.it/neO,3
2022-09-12,A Rainy Day in New York,2019,https://boxd.it/h2z6,2
2022-09-12,Hard Eight,1996,https://boxd.it/20DU,3
2022-09-13,The King of Comedy,1982,https://boxd.it/2aJS,4
2022-09-16,The Machinist,2004,https://boxd.it/248c,3
